query_id,answer
1,4396 3565 2171 3561 4308 4361 4234 2964 4008 1899
2,3843 2944 2802 4400 2521 4407 3149 3168 4387 4205
3,4234 4387 1909 3419 4219 4286 4400 4361 4308 4408
4,4400 2865 2696 4361 1966 4532 2698 2866 4219 4308
5,2698 4214 3128 4219 4308 4286 4388 4234 2251 2962
6,4226 2887 2197 2915 2928 2923 4263 2199 3744 4208
7,4400 3149 4361 2521 4403 4308 4205 4331 2944 3168
8,1951 4532 4234 4308 4286 1901 2698 4214 4361 4331
9,2698 4214 4451 4290 2405 4227 4204 4445 3995 4366
10,4329 2831 2218 4400 4252 4274 2696 4308 4403 4338
11,2865 1966 4403 4400 4407 2696 3132 4532 2408 3078
12,4400 2865 2964 2943 4408 2696 4361 4440 4308 4431
13,2865 4219 4440 1966 4400 4361 2646 4387 2521 2944
14,2962 4397 3751 2215 3746 2324 3786 4008 3735 1827
15,4361 4406 2037 1966 4219 4384 4308 3470 2646 4400
16,4219 2943 4361 4331 4387 2646 2521 4308 4389 2408
17,4532 2690 4227 4290 2949 2698 4045 4366 4375 2408
18,4219 2646 4234 4308 4214 4403 4361 4286 2698 4400
19,4214 2698 4219 4234 2646 4361 4308 4362 4354 2962
20,2696 4400 2865 4308 1966 2866 4387 4361 4403 4532
21,4214 2698 2943 4424 2405 4308 4361 2962 4204 4395
22,4362 4264 4262 4438 4383 4426 4311 3889 4278 4234
23,4286 4045 4214 4234 4308 4460 2698 4532 2171 2678
24,4389 2521 4219 4387 4440 2943 2646 4331 4361 1909
25,4214 2698 4451 2450 4366 1918 4532 3478 4424 2962
26,4440 4291 4257 2962 4285 1966 4400 2157 2865 3844
27,4387 1966 2696 4440 2865 4219 4400 2866 2944 4389
28,4400 4308 4403 4234 2408 4361 2831 2696 4219 2865
29,4406 2696 4400 3844 1966 4361 2865 4403 4219 4308
30,2962 4219 4286 4308 1951 4214 2646 4320 4321 4436
31,4308 4331 4361 4366 2962 4234 4400 4387 4219 4214
32,2962 4397 4377 3056 4257 4262 4264 2696 1784 4045
33,2866 1966 2865 2696 4400 2943 4219 4440 3470 2646
34,2696 4400 2865 3844 4361 4406 1966 4308 1909 4219
35,4361 4308 1907 4286 4396 4234 4437 1909 2962 4204
36,4387 4400 1958 2865 4532 1966 4234 3567 2521 4219
37,4387 2408 4009 1923 4219 4358 4234 4400 2646 1966
38,4400 1966 4387 2696 4219 4403 3470 2646 4440 2865
39,1951 2698 4234 4214 4532 4286 4050 4045 4301 4361
40,2646 4219 4234 4308 2962 4361 4384 4408 4502 4214
41,4362 4207 4331 4532 4234 4204 4045 2698 2097 4400
42,4400 4308 4387 2698 4361 4219 1958 4214 2646 4234
43,4234 4308 4396 1923 4219 4387 4331 2511 4009 2408
44,1966 2865 4406 3844 4400 2696 3567 2866 3470 4509
45,2696 4400 2865 4361 4387 4219 2646 4532 4406 2521
46,2665 3553 4398 2698 4214 4269 4401 4363 4308 4408
47,4406 4286 4219 2962 4214 2646 1951 1966 3470 4361
48,1966 4387 2866 2696 4400 2865 4219 4440 4389 2944
49,4408 4308 4219 1960 4400 2964 4502 2831 4367 1909
50,1951 4234 1899 2698 4320 4229 4308 4276 4291 4208
51,4214 4387 4395 2943 4219 2962 4308 2646 2521 2944
52,4214 4424 4395 2696 2943 4361 4308 2698 2962 2405
53,4361 2511 4308 4219 2408 4331 4387 4403 2831 2943
54,4214 4424 4395 2698 4445 3992 4521 3148 4209 4204
55,1951 4532 4214 3467 4286 3168 2962 2902 3843 2944
56,4308 2408 4403 4400 2962 4387 4361 4219 4234 4358
57,2890 2904 4372 1746 3679 3028 3751 2908 2215 3256
58,2646 4219 4384 3470 1966 3078 2220 2696 2698 4308
59,2865 1966 4400 1958 4532 2521 4219 2944 2696 4387
60,4403 4400 2696 4407 2865 1966 2866 3078 4219 2408
61,2943 4219 4396 2646 3149 2171 4308 4389 4205 4361
62,4400 4406 2831 2696 2964 4408 2865 4234 4286 4219
63,4400 4403 4387 4361 4308 4332 4219 4234 4451 2408
64,1918 2462 1909 1907 4387 4234 2831 4286 2962 1901
65,2695 3128 2243 2252 4371 2794 2663 4372 4375 2948
66,4269 4266 2602 3779 4134 4287 2888 2886 4276 2894
67,3470 4219 4440 4313 2696 2646 2171 4361 4384 3078
68,4008 3595 2219 3932 2968 2204 2203 2663 2217 4375
69,4400 1966 4406 2646 4361 3470 4219 2696 4234 3844
70,4286 1907 4328 4396 4234 4153 4050 3436 4308 4385
71,4329 4219 4545 4515 4334 4204 2646 4331 4234 4308
72,2698 4234 4361 4214 4331 4308 3149 4362 3006 4153
73,4440 4375 4389 4266 3993 3482 2968 3481 4269 2220
74,4400 2696 1966 2865 4403 2866 4361 4406 3470 2646
75,4219 2646 4361 1966 4234 2037 4440 4308 2962 4406
76,4362 1901 1918 2408 4331 4396 4234 4214 4328 1909
77,4545 4515 4205 3149 3595 1901 4354 4308 4396 4008
78,4250 4396 4325 4204 4331 3147 4308 1909 4433 4218
79,2696 3844 1966 4406 2865 4361 4400 4387 2646 4219
80,3861 2902 4235 4301 4437 4234 4219 4451 4354 4320
81,2866 2696 1966 4400 2865 3470 4219 2646 4361 4406
82,4308 4400 4532 4403 2962 4219 1960 4214 2831 2698
83,4361 4234 4308 4400 2962 4532 4219 4214 4204 2698
84,4400 4407 2865 4403 4234 2696 2690 1966 4218 2408
85,2962 4286 2924 2646 1909 4397 2831 4219 4214 4111
86,4234 2698 4361 1951 4286 4366 4308 4400 4214 4408
87,4361 2646 4219 4234 1951 4308 4384 4366 3470 1966
88,2698 1951 4234 2962 4286 4361 4383 4214 4438 4532
89,4234 2698 4286 4214 4219 4320 1951 4532 4308 4251
90,2696 1966 2865 4400 2866 4406 3470 4361 3567 3844
91,3149 4205 4387 4396 4009 2511 4234 4308 2802 4261
92,4310 4218 4532 2408 2698 4366 4362 4234 4214 2964
93,4387 2696 4400 4219 2831 3400 1909 2521 4285 2962
94,2062 3147 4411 4404 4419 4205 2060 3261 3150 4338
95,4532 1951 4214 2962 2698 4361 3467 3436 4308 2232
96,2831 4205 1958 4331 4400 4234 4367 4431 2696 1966
97,4400 4403 2865 1966 4361 4308 2698 4234 2831 4219
98,4234 2698 2964 4366 4331 4532 1951 4367 4308 4045
99,4219 1958 4361 4400 2646 4331 4308 4234 2696 4366
100,4286 4214 4234 4532 4320 4219 4308 4396 3436 4366
101,2865 4400 2696 4219 1966 4403 4406 3470 2831 2866
102,2695 4451 4214 3056 4361 2948 4404 2698 2232 2405
103,2646 4219 2962 4408 4329 4389 3536 4532 4308 4502
104,2865 4219 4400 4387 4403 2408 2521 4532 4440 3149
105,4219 2646 4308 4400 4361 4384 2831 4214 4403 4532
